Experiment,Pseudo Label Type,Pct,Smooth Func Code,Folds,Fine-Tune Only Last Layer,Hold-Out AUC-ROC
exp_train_02,str_undspml,80,2,folds_stratified,true,0.85
exp_train_02,rdf_bnd,80,6,folds_stratified,true,0.8405
exp_train_02,rdf_bnd,50,4,folds_stratified,false,0.8153
exp_train_02,rdf_bnd,100,4,folds_stratified,false,0.7678
exp_train_02,str_undspml,50,2,folds_stratified,false,0.7874
exp_train_02,str_undspml,80,1,folds_stratified,false,0.8015
exp_train_02,rnd_undspml,80,6,folds_stratified,true,0.8473
exp_train_02,rdf_bnd,80,3,folds_stratified,true,0.85
exp_train_02,rnd_undspml,50,1,folds_stratified,false,0.7987
exp_train_02,str_undspml,80,3,folds_stratified,false,0.7867
exp_train_02,rnd_undspml,80,4,folds_stratified,false,0.6548
exp_train_02,str_undspml,80,2,folds_stratified,false,0.7711
exp_train_02,rdf_bnd,80,5,folds_stratified,false,0.8215
exp_train_02,rnd_undspml,80,6,folds_stratified,false,0.7612
exp_train_02,rdf_bnd,50,5,folds_stratified,false,0.8034
exp_train_02,rdf_bnd,50,4,folds_stratified,true,0.8505
exp_train_02,rdf_bnd,50,2,folds_stratified,true,0.8478
exp_train_02,rdf_bnd,80,1,folds_stratified,true,0.8474
exp_train_02,rnd_undspml,80,4,folds_stratified,true,0.8499
exp_train_02,rnd_undspml,100,3,folds_stratified,true,0.7938
exp_train_02,rnd_undspml,80,3,folds_stratified,true,0.8496
exp_train_02,rnd_undspml,50,6,folds_stratified,true,0.8533
exp_train_02,str_undspml,100,2,folds_stratified,true,0.7711
exp_train_02,str_undspml,50,2,folds_stratified,true,0.8533
exp_train_02,rnd_undspml,100,2,folds_stratified,true,0.7791
exp_train_02,str_undspml,50,3,folds_stratified,false,0.7859
exp_train_02,rdf_bnd,80,6,folds_stratified,false,0.7998
exp_train_02,rnd_undspml,100,6,folds_stratified,false,0.6426
exp_train_02,rnd_undspml,50,5,folds_stratified,false,0.7773
exp_train_02,str_undspml,100,5,folds_stratified,false,0.7762
exp_train_02,rdf_bnd,50,1,folds_stratified,true,0.855
exp_train_02,str_undspml,50,4,folds_stratified,false,0.7879
exp_train_02,rdf_bnd,80,2,folds_stratified,false,0.8021
exp_train_02,str_undspml,50,5,folds_stratified,false,0.7825
exp_train_02,str_undspml,100,3,folds_stratified,true,0.7759
exp_train_02,str_undspml,80,5,folds_stratified,true,0.8504
exp_train_02,rdf_bnd,100,1,folds_stratified,true,0.8313
exp_train_02,rdf_bnd,80,4,folds_stratified,true,0.8507
exp_train_02,rnd_undspml,80,3,folds_stratified,false,0.7728
exp_train_02,rnd_undspml,50,3,folds_stratified,false,0.7796
exp_train_02,rdf_bnd,100,4,folds_stratified,true,0.8307
exp_train_02,rdf_bnd,100,3,folds_stratified,false,0.7917
exp_train_02,str_undspml,100,2,folds_stratified,false,0.7663
exp_train_02,str_undspml,80,1,folds_stratified,true,0.851
exp_train_02,rnd_undspml,80,1,folds_stratified,true,0.8424
exp_train_02,str_undspml,80,4,folds_stratified,false,0.8027
exp_train_02,rdf_bnd,80,2,folds_stratified,true,0.8439
exp_train_02,rnd_undspml,50,2,folds_stratified,false,0.8105
exp_train_02,str_undspml,100,1,folds_stratified,true,0.8259
exp_train_02,rdf_bnd,80,1,folds_stratified,false,0.8081
exp_train_02,rnd_undspml,80,2,folds_stratified,false,0.79
exp_train_02,rdf_bnd,50,2,folds_stratified,false,0.7995
exp_train_02,str_undspml,100,6,folds_stratified,true,0.7748
exp_train_02,rnd_undspml,50,5,folds_stratified,true,0.8539
exp_train_02,rnd_undspml,50,2,folds_stratified,true,0.8532
exp_train_02,rdf_bnd,50,1,folds_stratified,false,0.7987
exp_train_02,str_undspml,50,5,folds_stratified,true,0.8538
exp_train_02,rnd_undspml,50,4,folds_stratified,true,0.8541
exp_train_02,str_undspml,50,1,folds_stratified,false,0.7267
exp_train_02,rdf_bnd,80,3,folds_stratified,false,0.7835
exp_train_02,rnd_undspml,50,4,folds_stratified,false,0.7696
exp_train_02,rdf_bnd,80,4,folds_stratified,false,0.8078
exp_train_02,rdf_bnd,50,6,folds_stratified,true,0.8437
exp_train_02,str_undspml,100,4,folds_stratified,true,0.7778
exp_train_02,rdf_bnd,80,5,folds_stratified,true,0.8453
exp_train_02,rnd_undspml,100,1,folds_stratified,true,0.8387
exp_train_02,str_undspml,80,4,folds_stratified,true,0.8535
exp_train_02,rdf_bnd,100,5,folds_stratified,true,0.82
exp_train_02,rnd_undspml,50,6,folds_stratified,false,0.7885
exp_train_02,str_undspml,50,6,folds_stratified,true,0.8532
exp_train_02,rdf_bnd,50,3,folds_stratified,false,0.803
exp_train_02,rnd_undspml,80,1,folds_stratified,false,0.7837
exp_train_02,rnd_undspml,100,4,folds_stratified,true,0.7968
exp_train_02,str_undspml,100,6,folds_stratified,false,0.5725
exp_train_02,rdf_bnd,100,5,folds_stratified,false,0.7901
exp_train_02,rdf_bnd,100,2,folds_stratified,false,0.7979
exp_train_02,str_undspml,50,3,folds_stratified,true,0.8535
exp_train_02,str_undspml,50,4,folds_stratified,true,0.8536
exp_train_02,rdf_bnd,50,5,folds_stratified,true,0.8492
exp_train_02,rdf_bnd,100,6,folds_stratified,false,0.6946
exp_train_02,rnd_undspml,100,6,folds_stratified,true,0.7883
exp_train_02,rnd_undspml,100,2,folds_stratified,false,0.7771
exp_train_02,rnd_undspml,50,3,folds_stratified,true,0.8538
exp_train_02,str_undspml,100,5,folds_stratified,true,0.7726
exp_train_02,rnd_undspml,100,5,folds_stratified,false,0.7221
exp_train_02,str_undspml,50,6,folds_stratified,false,0.7623
exp_train_02,str_undspml,100,4,folds_stratified,false,0.7662
exp_train_02,str_undspml,100,3,folds_stratified,false,0.7748
exp_train_02,str_undspml,80,3,folds_stratified,true,0.853
exp_train_02,rdf_bnd,100,3,folds_stratified,true,0.8309
exp_train_02,rnd_undspml,100,4,folds_stratified,false,0.7678
exp_train_02,rdf_bnd,100,6,folds_stratified,true,0.796
exp_train_02,rnd_undspml,80,5,folds_stratified,false,0.7665
exp_train_02,rnd_undspml,100,3,folds_stratified,false,0.6907
exp_train_02,rnd_undspml,50,1,folds_stratified,true,0.8533
exp_train_02,rdf_bnd,100,2,folds_stratified,true,0.8129
exp_train_02,rnd_undspml,80,5,folds_stratified,true,0.8492
exp_train_02,str_undspml,80,6,folds_stratified,false,0.7832
exp_train_02,rdf_bnd,50,3,folds_stratified,true,0.8504
exp_train_02,str_undspml,80,6,folds_stratified,true,0.8507
exp_train_02,rnd_undspml,80,2,folds_stratified,true,0.8483
exp_train_02,rdf_bnd,50,6,folds_stratified,false,0.7961
exp_train_02,str_undspml,80,5,folds_stratified,false,0.7623
exp_train_02,rnd_undspml,100,5,folds_stratified,true,0.785
exp_train_02,str_undspml,50,1,folds_stratified,true,0.8504
exp_train_02,,,,,,0.8263
exp_train_03,,,,,,0.7252
exp_train_04,,,,,,0.862
exp_train_05,,,,,,0.8892
exp_train_06,,,,,,0.904
exp_train_07,,,,,,0.8529
